               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.024915,           0.0052112,           0.0033185,             0.99232,             0.95541,             0.97639,             0.77691,            0.023172,           0.0060693,           0.0029241,              0.0067,              0.0067,              0.0067
                  52,            0.025855,           0.0052549,           0.0032258,              0.9704,             0.95858,             0.97806,             0.76259,            0.021582,           0.0060323,           0.0030464,            0.006634,            0.006634,            0.006634
                  53,            0.025861,           0.0053516,           0.0027422,             0.98047,             0.95101,             0.97829,             0.73778,            0.023505,           0.0062722,           0.0027953,            0.006568,            0.006568,            0.006568
                  54,            0.023811,           0.0051293,           0.0031522,             0.97324,             0.95695,             0.97856,             0.76855,            0.020473,           0.0057901,           0.0028662,            0.006502,            0.006502,            0.006502
                  55,            0.025649,           0.0052993,           0.0027749,             0.99842,             0.94888,             0.97997,             0.76843,            0.021741,           0.0055234,           0.0026148,            0.006436,            0.006436,            0.006436
                  56,            0.024806,            0.004842,            0.002761,             0.98926,             0.94754,             0.97832,             0.77074,            0.022188,           0.0057214,           0.0028515,             0.00637,             0.00637,             0.00637
                  57,             0.02507,           0.0050398,           0.0029853,             0.98953,             0.95464,             0.97887,             0.76203,            0.021116,           0.0058012,           0.0031839,            0.006304,            0.006304,            0.006304
                  58,            0.023234,            0.004909,           0.0026621,             0.99461,             0.96373,             0.97511,             0.75493,             0.02115,           0.0060002,           0.0024765,            0.006238,            0.006238,            0.006238
                  59,            0.023248,           0.0050525,           0.0028036,             0.99195,             0.95017,             0.97987,             0.77247,            0.022538,            0.005537,           0.0026332,            0.006172,            0.006172,            0.006172
                  60,             0.02401,           0.0049902,              0.0028,             0.97616,              0.9691,             0.98274,             0.77559,            0.020464,           0.0053484,           0.0025042,            0.006106,            0.006106,            0.006106
                  61,            0.023641,           0.0049265,           0.0022381,             0.99467,             0.94975,             0.98631,             0.79079,            0.019891,           0.0054496,           0.0024748,             0.00604,             0.00604,             0.00604
                  62,            0.023595,           0.0049856,           0.0025714,             0.98952,             0.95247,             0.97857,             0.79587,            0.018783,           0.0055141,           0.0024066,            0.005974,            0.005974,            0.005974
                  63,            0.023479,           0.0048012,           0.0026001,             0.98965,             0.94412,             0.98322,              0.7864,            0.019417,           0.0053651,           0.0024925,            0.005908,            0.005908,            0.005908
                  64,            0.023234,           0.0049204,           0.0025228,             0.98367,             0.97404,             0.98126,             0.79327,            0.021443,           0.0053503,           0.0025878,            0.005842,            0.005842,            0.005842
                  65,            0.023604,           0.0049316,           0.0024925,             0.98902,             0.97215,             0.98034,             0.76488,            0.020612,           0.0054588,           0.0024028,            0.005776,            0.005776,            0.005776
                  66,             0.02254,           0.0047682,           0.0023805,             0.98342,              0.9754,             0.98631,             0.79094,            0.019052,           0.0051314,           0.0023755,             0.00571,             0.00571,             0.00571
                  67,            0.022201,           0.0044426,           0.0022019,             0.99414,             0.96912,             0.98764,              0.7894,            0.019526,             0.00514,           0.0024847,            0.005644,            0.005644,            0.005644
                  68,            0.022269,           0.0046178,           0.0024435,             0.99334,             0.95763,             0.98108,             0.79931,            0.019635,           0.0054599,           0.0022748,            0.005578,            0.005578,            0.005578
                  69,            0.022656,           0.0048316,           0.0022724,             0.96453,             0.94474,             0.97895,             0.78267,            0.019938,           0.0056849,           0.0023901,            0.005512,            0.005512,            0.005512
                  70,            0.021481,           0.0046901,           0.0022621,             0.98922,             0.94716,             0.98018,             0.78931,            0.019635,           0.0054506,           0.0022657,            0.005446,            0.005446,            0.005446
                  71,            0.021418,           0.0046703,           0.0024308,             0.98685,             0.94915,             0.97761,             0.74234,            0.021099,            0.005648,           0.0023756,             0.00538,             0.00538,             0.00538
                  72,             0.02241,           0.0044595,           0.0024159,             0.99271,             0.94505,             0.98125,             0.79228,            0.019799,           0.0055015,           0.0025585,            0.005314,            0.005314,            0.005314
                  73,            0.022637,           0.0050044,           0.0024362,             0.98421,             0.94208,             0.98092,             0.78112,            0.018681,           0.0054049,           0.0022832,            0.005248,            0.005248,            0.005248
                  74,             0.02157,           0.0045055,           0.0022234,              0.9696,             0.96518,              0.9798,             0.78849,            0.019981,           0.0052548,           0.0022603,            0.005182,            0.005182,            0.005182
                  75,              0.0215,           0.0043944,           0.0022198,             0.98471,             0.97038,             0.98078,             0.78644,            0.018602,            0.005142,           0.0022694,            0.005116,            0.005116,            0.005116
